#,song_title,artist,page_title,views,genre
181,Pa amb oli i sal,Blaumut,"Pa amb oli i sal, de l'àlbum ""El turista"" (Blaumut) - Viasona",217,pop-rock
182,L'U d'Aielo,Pep Gimeno 'Botifarra',"L'U d'Aielo, de l'àlbum ""Si em pose a cantar cançons"" (Pep Gimeno 'Botifarra') - Viasona",216,folk
183,Jo flipo,The Companys,"Jo flipo, de l'àlbum ""Les músiques de Lo Cartanyà. Amb dos collons"" (The Companys) - Viasona",216,pop-rock
184,M'agrades molt,Banda Neon,"M'agrades molt, de l'àlbum ""M'agrades molt"" (Banda Neon) - Viasona",213,pop-rock
185,Mussegu,Figa Flawas,"Mussegu, de l'àlbum ""Mussegu"" (Figa Flawas) - Viasona",212,música urbana
186,Brega,Malifeta,"Brega, de l'àlbum ""Brega"" (Malifeta) - Viasona",212,música urbana
187,L'estaca,Lluís Llach,"L'estaca, de l'àlbum ""18 anys de cançons"" (Lluís Llach) - Viasona",211,cançó autor
188,Enganyar-te,La Ludwig Band,"Enganyar-te, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",211,pop-rock
189,El geògraf,Companyia El Petit Príncep,"El geògraf, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",211,cançó autor
190,Que li donarem a la pastoreta,La Pataqueta,"Que li donarem a la pastoreta, de l'àlbum ""La Pataqueta"" (La Pataqueta) - Viasona",210,folk
191,"Sol, solet",Pep Puigdemont,"Sol, solet, de l'àlbum ""Puré de cançons"" (Pep Puigdemont) - Viasona",209,folk
192,Dibuixa'm un xai,Companyia El Petit Príncep,"Dibuixa'm un xai, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",208,cançó autor
